label,window,ticker,fiscal_quarter_end,v25_decision,v25_size_pct,entry_price,exit_price,net_return_pct,net_pnl_usd,win,divergence_pct,divergence_class,agent3_confidence,consensus_median_usd,consensus_dispersion_usd,n_analysts_at_T_minus_14,dispersion_adjusted_surprise,absolute_active,n_newly_active,n_continuously_active,share_active,relative_activity_delta,wti_4w_return_pct,actual_revenue_usd,actual_revenue_beat,gdelt_disclosed,gdelt_n_articles,agent4_modifier,bull_direction,bear_direction,arbiter_decision,arbiter_overruled_bear,arbiter_reasoning_240,sc_activity_strength,sc_newness,sc_qoq_delta,sc_dispersion,sc_analyst_breadth,signal_confidence_score,signal_confidence_tier
inherited,2021,CTRA,2021-09-30,long,0.1,21.41,21.58,0.004940214852872404,494.02148528724035,True,10.0,modest_beat,medium,568600000.0,149925017.52542835,5,0.3792562504810522,18,11,7,0.72,10.5,13.237550564932366,440395000.0,False,False,5,none,?,?,long,False,"Bull prevailed: Agent 2's operational momentum (18 active sites + solid revenue forecast) combined with Agent 3's modest_beat (10%, medium confidence) provide a positive signal and Agent 4 discloses no GDELT downside, so no news-based downg",16.0,16.0,20.0,4.0,4.0,60.0,medium
inherited,2021,OXY,2021-09-30,long,0.1,32.8,34.29,0.04242682926829274,4242.682926829274,True,10.0,modest_beat,medium,6210217500.0,897005136.6918353,14,0.6923279751667142,23,12,11,0.92,15.5,13.237550564932366,6792000000.0,True,False,49,none,?,?,long,False,"Bull side prevails. Agent 2's concrete operational metrics and revenue forecast, combined with Agent 3's modest_beat (10%, medium confidence), indicate a likely upside; Agent 4 shows no GDELT disclosure of negative news, removing a news-dri",20.0,12.0,20.0,8.0,12.0,72.0,high
v2.5_only,2021,MTDR,2021-09-30,long,0.1,42.39,42.32,-0.004651332861523951,-465.1332861523951,False,10.0,modest_beat,medium,367233000.0,56163432.22981776,13,0.6538649534403491,21,11,10,0.84,19.0,13.801101768628588,472351000.0,True,False,12,none,?,?,long,False,"Bull evidence prevails: Agent 2's strong operational drivers and revenue forecast (21 active sites, favorable WTI) combined with Agent 3's modest_beat (+10%) and Agent 4's lack of negative GDELT disclosures outweigh the Bear's caution about",20.0,12.0,20.0,8.0,12.0,72.0,high
inherited,2021,OVV,2021-09-30,long,0.1,39.27,35.74,-0.09289050165520756,-9289.050165520755,False,10.0,modest_beat,medium,1700000000.0,241557533.27476436,10,0.7037660870904414,18,10,8,0.72,10.5,13.237550564932366,1789000000.0,True,False,29,none,?,?,long,False,"Bull view prevailed: agent2's strong fundamental signals (elevated drilling activity, favorable WTI and positive revenue forecast) together with agent3's modest_beat analyst consensus (+10%) outweigh the Bear's cautions about sector volatil",16.0,12.0,20.0,8.0,8.0,64.0,medium
v2.5_only,2021,DVN,2021-12-31,long,0.1,52.56,55.25,0.048179604261795995,4817.960426179599,True,10.0,modest_beat,medium,2583128000.0,762996235.8287526,17,0.33855055617597557,7,3,4,0.28,5.0,14.319526627218938,4273000000.0,True,False,75,none,?,?,long,False,"Bullside prevails: Agent 2's operational evidence (increased drilling, +5 site delta and $2.84B revenue forecast) combined with Agent 3's modest_beat (+10%, medium confidence) support a long. Bear raises valid macro risk (WTI volatility) an",8.0,12.0,20.0,4.0,16.0,60.0,medium
v2.5_only,2022,DVN,2022-09-30,long,0.1,69.77,70.73,0.01075949548516566,1075.949548516566,True,10.0,modest_beat,medium,3735500000.0,856291749.5080726,16,0.4362415032196668,15,12,3,0.6,11.0,1.983035304906,5432000000.0,True,False,75,none,?,?,long,False,"Both sides leaned long, but the bull view prevailed: Agent 2's operational evidence (15 active sites, strong drilling trend and a $4.11B revenue forecast) plus Agent 3's modest_beat (+10%) with medium confidence and Agent 4 showing no adver",12.0,16.0,20.0,4.0,16.0,68.0,medium
dropped,2022,CTRA,2022-09-30,no_trade,0.0,,,,,,-0.67,in_line,medium,2330615500.0,321609091.81267166,14,-0.04855311695944024,7,3,4,0.28,-0.5,1.983035304906,2520000000.0,True,False,0,none,?,?,no_trade,False,short_circuit_no_beat_divergence (DL #61): Agent 3 emitted divergence_class=in_line; Investment Board LLM calls skipped because the locked guardrail forces no_trade regardless of LLM debate.,8.0,12.0,0.0,8.0,12.0,40.0,medium
v2.5_only,2022,MTDR,2022-09-30,long,0.1,60.09,66.04,0.09601813945748049,9601.813945748048,True,10.0,modest_beat,medium,765281500.0,139575296.7985381,10,0.5482929411961784,5,4,1,0.2,3.333333333333333,3.4353382577089864,840928000.0,True,False,15,none,?,?,long,False,"Bull view prevails: agent2's strong operational momentum and revenue outlook plus agent3's analyst consensus (modest_beat +10%, medium confidence) point to upside, and agent4 reports no adverse GDELT disclosure. Bear concerns about WTI vola",4.0,16.0,20.0,8.0,8.0,56.0,medium
v2.5_only,2022,OVV,2022-12-31,long,0.05,48.38,45.21,-0.0685229433650269,-3426.1471682513447,False,10.0,modest_beat,medium,2366569999.9999995,556731115.3171898,10,0.4250831208979004,15,7,8,0.6,7.5,0.5317769130998906,3212000000.0,True,True,6,downgrade_one_tier,?,?,long,False,"Bull's case prevailed: strong operational evidence (Agent 2: increased drilling, robust revenue forecast) plus a modest analyst beat (Agent 3) indicate upside, outweighing Bear's caution. However, Agent 4's GDELT-disclosed negative sentimen",12.0,12.0,20.0,4.0,8.0,56.0,medium
v2.5_only,2023,CTRA,2023-03-31,long,0.1,25.56,24.86,-0.030386541471048484,-3038.6541471048486,False,6.67,modest_beat,medium,1670260000.0,260316669.79840794,16,0.4279646865729893,5,3,2,0.2,2.0,17.629310344827598,1777000000.0,True,False,15,none,?,?,long,False,"Bull view prevails: Agent 3's modest_beat (+6.67%) at medium confidence combined with Agent 2's operational momentum and $1.78B revenue forecast provide a constructive information edge. Agent 4 disclosed no adverse GDELT signal, so the bear",4.0,12.0,20.0,8.0,16.0,60.0,medium
v2.5_only,2023,DVN,2023-06-30,long,0.1,50.51,50.83,0.003335379132844987,333.5379132844987,True,10.0,modest_beat,medium,2874239000.0,660719622.2506689,15,0.4350164431637766,9,8,1,0.36,7.0,8.326130798040921,3454000000.0,True,False,0,none,?,?,long,False,Bull prevailed: Agent 2's operational evidence (notable increase to 9 active sites and a $3.16B revenue forecast) plus Agent 3's modest_beat (10%) with medium confidence provide a tangible earnings/upside case. Agent 4 reports no adverse GD,8.0,20.0,20.0,4.0,12.0,64.0,medium
inherited,2023,OVV,2023-06-30,long,0.1,39.8,46.09,0.1550402010050253,15504.02010050253,True,10.0,modest_beat,medium,2420481000.0,493830187.81900734,12,0.49014439775138363,15,6,9,0.6,7.5,0.32140860816098904,2517000000.0,True,False,7,none,?,?,long,False,"Bull arguments prevail: Agent 2 presents concrete operational improvement (15 active sites) and a $2.66B revenue forecast, supported by Agent 3's modest_beat (+10%) analyst divergence at medium confidence. Agent 4 disclosed no adverse GDELT",12.0,8.0,20.0,4.0,12.0,56.0,medium
v2.5_only,2023,FANG,2023-09-30,long,0.1,165.32001,155.97,-0.05955703746932992,-5955.7037469329925,False,10.0,modest_beat,medium,2212000000.0,106891181.60723306,21,2.0693942818668583,8,0,8,0.32,6.0,-2.492246344705362,2340000000.0,True,False,22,none,?,?,long,False,"Bull view prevails: Agent 2's robust operational metrics and deterministic $2.43B revenue forecast, combined with Agent 3's modest_beat (+10%) analyst divergence and Agent 4's clean GDELT (no disclosure), outweigh the Bear's caution about m",8.0,0.0,20.0,16.0,20.0,64.0,medium
v2.5_only,2023,EOG,2023-09-30,long,0.1,136.23,126.42,-0.07501057035895169,-7501.057035895168,False,10.0,modest_beat,medium,5479813500.0,689077989.0281621,16,0.7952385052566298,3,3,0,0.12,1.6666666666666667,-4.61072470271483,6156000000.0,True,False,14,none,?,?,long,False,"Bull side prevails: Agent 3's modest_beat (10%) at medium confidence, combined with Agent 2's operational evidence (increased drilling, three newly active sites and favorable ~$84 WTI supporting a $6.03B revenue forecast), provides a cohere",4.0,20.0,20.0,8.0,16.0,68.0,medium
inherited,2024,FANG,2024-06-30,long,0.1,204.67999,191.38,-0.06797943448209084,-6797.943448209085,False,10.0,modest_beat,medium,2169000000.0,87752638.79429784,16,2.471720542882343,13,0,13,0.52,11.0,0.875273522975939,2483000000.0,True,False,0,none,?,?,long,False,"Bull prevailed: Agent 2's strong operational evidence (high active sites, increased drilling, favorable realized prices) plus Agent 3's modest_beat (10%, medium confidence) outweigh the Bear's concern that positives may be priced in and lac",12.0,0.0,20.0,16.0,16.0,64.0,medium
v2.5_only,2024,FANG,2024-09-30,long,0.1,182.41,183.62,0.0036334082561263518,363.3408256126352,True,10.0,modest_beat,medium,2342465000.0,135932574.5425456,18,1.7232550828108026,9,0,9,0.36,6.5,-1.843637371777096,2645000000.0,True,False,32,none,?,?,long,False,"Bull prevails. Agent 2's operational/fundamental forecast (stable drilling, positive activity delta, $2.58B revenue) plus Agent 3's modest_beat (10%) with medium confidence support a long ahead of earnings; Agent 4 discloses no negative GDE",8.0,0.0,20.0,12.0,16.0,56.0,medium
dropped,2024,PR,2024-09-30,no_trade,0.0,,,,,,2.0,in_line,medium,1236275000.0,45893707.85172105,14,0.5387557719216355,9,1,8,0.36,1.5,-1.843637371777096,1215571000.0,False,False,0,none,?,?,no_trade,False,short_circuit_no_beat_divergence (DL #61): Agent 3 emitted divergence_class=in_line; Investment Board LLM calls skipped because the locked guardrail forces no_trade regardless of LLM debate.,8.0,4.0,16.0,16.0,12.0,56.0,medium
