date,permian_rigs
2023-06-23,435
2023-06-30,430
2023-07-07,425
2023-07-14,419
2023-07-21,413
2023-07-28,405
2023-08-04,397
2023-08-11,388
2023-08-18,379
2023-08-25,369
2023-09-01,359
2023-09-08,350
2023-09-15,340
2023-09-22,331
2023-09-29,322
2023-10-06,314
2023-10-13,307
2023-10-20,300
2023-10-27,294
2023-11-03,289
2023-11-10,285
2023-11-17,282
2023-11-24,281
2023-12-01,280
2023-12-08,281
2023-12-15,282
2023-12-22,285
2023-12-29,289
2024-01-05,294
2024-01-12,300
2024-01-19,307
2024-01-26,315
2024-02-02,323
2024-02-09,332
2024-02-16,341
2024-02-23,350
2024-03-01,360
2024-03-08,369
2024-03-15,379
2024-03-22,388
2024-03-29,397
2024-04-05,405
2024-04-12,413
2024-04-19,420
2024-04-26,426
2024-05-03,431
2024-05-10,435
2024-05-17,438
2024-05-24,439
2024-05-31,440
2024-06-07,439
2024-06-14,438
2024-06-21,435
2024-06-28,431
2024-07-05,426
2024-07-12,420
2024-07-19,414
2024-07-26,406
2024-08-02,398
2024-08-09,389
2024-08-16,380
2024-08-23,370
2024-08-30,361
2024-09-06,351
2024-09-13,342
2024-09-20,332
2024-09-27,324
2024-10-04,315
2024-10-11,308
2024-10-18,301
2024-10-25,295
2024-11-01,290
2024-11-08,286
2024-11-15,283
2024-11-22,281
2024-11-29,280
2024-12-06,280
2024-12-13,282
2024-12-20,285
2024-12-27,289
2025-01-03,293
2025-01-10,299
2025-01-17,306
2025-01-24,313
2025-01-31,322
2025-02-07,330
2025-02-14,339
2025-02-21,349
2025-02-28,358
2025-03-07,368
2025-03-14,378
2025-03-21,387
2025-03-28,396
2025-04-04,404
2025-04-11,412
2025-04-18,419
2025-04-25,425
2025-05-02,430
2025-05-09,434
2025-05-16,437
2025-05-23,439
2025-05-30,440
2025-06-06,440
2025-06-13,438
2025-06-20,435
2025-06-27,432
2025-07-04,427
2025-07-11,421
2025-07-18,415
2025-07-25,407
2025-08-01,399
2025-08-08,390
2025-08-15,381
2025-08-22,372
2025-08-29,362
2025-09-05,353
2025-09-12,343
2025-09-19,334
2025-09-26,325
2025-10-03,316
2025-10-10,309
2025-10-17,302
2025-10-24,296
2025-10-31,290
2025-11-07,286
2025-11-14,283
2025-11-21,281
2025-11-28,280
2025-12-05,280
2025-12-12,282
2025-12-19,284
2025-12-26,288
